objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Dungeons, Dice & Danger","349463","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665125","6.2968","7.03314","1.9153","1752","6300","thing","Dungeons, Dice & Danger","1","4","60","60","45","2022","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dust","29109","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118430181","5.84725","6.40662","2.6104","4070","2886","thing","Dust","2","6","180","180","60","2007","2,3,4,5,6","4,6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Elder Sign","100423","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696057","6.7873","6.9702","2.3447","736","42746","thing","Elder Sign","1","8","90","90","90","2011","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Eruption","88594","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696651","5.68729","6.08125","2.0175","6157","1046","thing","Eruption","2","6","60","60","30","2011","2,3,4,5,6","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape the Dark Castle","227456","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696429","6.39607","7.35582","1.2101","1487","6900","thing","Escape the Dark Castle","1","4","45","45","20","2017","1,2,3,4","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape the Dark Sector","280748","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696433","6.12408","7.53127","2.0278","2404","3514","thing","Escape the Dark Sector","1","4","60","60","20","2020","1,2,3,4","1","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Evolution: The Beginning","201248","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696070","6.03266","6.57988","1.8043","2825","5798","thing","Evolution: The Beginning","2","5","30","30","30","2016","2,3,4,5","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Exploding Kittens","172225","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663728","5.87919","6.0654","1.0829","3795","81919","thing","Exploding Kittens","2","5","15","15","15","2015","3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Exploding Kittens: NSFW Deck","172242","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663742","5.96498","6.23433","1.0812","3198","30691","thing","Exploding Kittens: NSFW Deck","2","5","20","20","10","2015","3,4,5","4,5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fallout Shelter: The Board Game","293889","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664776","6.54513","7.23451","2.0309","1146","7372","thing","Fallout Shelter: The Board Game","2","4","90","90","60","2020","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fantahzee: Hordes & Heroes","197061","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118978918","5.59049","6.235","2","9274","717","thing","Fantahzee: Hordes & Heroes","2","5","40","40","30","2016","2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Farkle","3181","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664031","5.52403","5.64143","1.1126","16859","7593","thing","Farkle","2","6","30","30","30","1996","2,3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Farlight","221230","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697013","5.73979","6.81617","2.3684","5253","1300","thing","Farlight","2","5","45","45","45","2017","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Favor of the Pharaoh","171011","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696955","6.232","6.77984","2.0125","1970","4170","thing","Favor of the Pharaoh","2","4","45","45","45","2015","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fightdrome: Panama Rose","316995","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697109","0","6","2","0","65","thing","Fightdrome: Panama Rose","2","2","30","0","30","2020","2","2","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Fireball Island: The Curse of Vul-Kar","233020","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664100","6.36156","6.74301","1.4495","1580","13708","thing","Fireball Island: The Curse of Vul-Kar","2","4","60","60","45","2018","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Fish Frenzy","196122","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664822","5.53539","6.02335","1.3333","14422","806","thing","Fish Frenzy","3","5","30","30","20","2016","4,5","4","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"FITS","40393","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696415","6.14755","6.57472","1.3897","2292","3681","thing","FITS","1","4","45","45","45","2009","1,2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Flick 'em Up!","169124","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664341","6.57189","6.84977","1.3366","1094","16514","thing","Flick 'em Up!","2","10","45","45","30","2015","2,3,4,5,6","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Flip Over Frog","261165","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788561","5.65548","6.71221","1.1429","6850","711","thing","Flip Over Frog","2","4","15","15","15","2018","2,3,4","2,4","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Flock","180920","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118973190","5.47077","5.21679","2.25","26779","736","thing","Flock","2","5","30","30","30","2016","3,4,5","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Flotilla","275969","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697359","5.93933","7.18013","3.8537","3382","1532","thing","Flotilla","3","5","150","150","90","2019","3,4,5","4","16+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fluxx","258","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784378","5.56525","5.67351","1.3893","10964","31759","thing","Fluxx","2","6","30","30","5","1997","2,3,4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Formula D","37904","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696942","6.80174","6.99349","1.9672","712","27477","thing","Formula D","2","10","60","60","60","2008","3,4,5,6,7,8,9,10","5,6,7,8","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fort","296912","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696548","6.78029","7.08908","2.4457","744","20235","thing","Fort","2","4","40","40","20","2020","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Game of Nasty Things...","182090","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697485","5.50624","5.80124","1","21789","767","thing","The Game of Nasty Things...","4","15","60","60","30","2015","6,7,8,9,10","7,8","18+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Ghost Blaster","166931","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665225","5.52839","6.06289","1.2","15815","308","thing","Ghost Blaster","1","4","15","15","15","2014","2,3","2,3","5–8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ghostbusters: The Card Game","259897","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788576","5.50695","5.74354","1","21610","331","thing","Ghostbusters: The Card Game","2","5","30","30","20","2018","3,4,5","5","6","","","","","","","standalone","","","","","","","","","","","","","","",""
"Gift Trap","23686","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664877","5.97288","6.40709","1.2405","3157","3290","thing","Gift Trap","3","8","60","60","60","2006","4,5,6,7,8","5,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Gingerbread House","258444","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696528","6.33831","6.99395","1.8485","1639","5460","thing","Gingerbread House","2","4","30","30","30","2018","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Go","188","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118754545","7.30919","7.65251","3.9256","226","25195","thing","Go","2","2","180","180","30","-2200","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Godzilla: Tokyo Clash","303051","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695748","6.12131","7.20919","2.2308","2415","5378","thing","Godzilla: Tokyo Clash","2","4","45","45","45","2020","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"GoodCritters","255615","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118299185","6.12677","6.99052","1.4324","2395","3214","thing","GoodCritters","4","8","45","45","30","2018","4,5,6,7,8","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Grind","34152","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118430196","5.56107","6.32781","2.6818","11303","1039","thing","Grind","2","2","60","60","60","2009","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Grizzled","171668","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118430193","6.88761","7.12632","1.9757","611","24371","thing","The Grizzled","2","5","30","30","30","2015","3,4,5","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Half Truth","287158","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664062","5.92953","6.89417","1.35","3448","2291","thing","Half Truth","2","6","45","45","30","2020","2,3,4,5,6","4,5,6","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Hanabi","98778","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784097","6.93156","7.03654","1.6873","551","85053","thing","Hanabi","2","5","25","25","25","2010","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Happy Little Dinosaurs","325414","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117785034","5.80638","6.19227","1.3333","4440","11101","thing","Happy Little Dinosaurs","2","4","60","60","30","2021","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Harry Potter: Hogwarts Battle","199042","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696766","7.0767","7.36208","2.0771","401","42142","thing","Harry Potter: Hogwarts Battle","2","4","60","60","30","2016","2,3,4","2,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Hellboy: The Board Game","243759","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697209","6.41328","7.7516","2.9714","1449","5505","thing","Hellboy: The Board Game","1","4","90","90","60","2019","1,2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Herbaceous","195314","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118754595","6.56595","7.00407","1.1963","1105","11267","thing","Herbaceous","1","4","20","20","15","2017","1,2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hi Ho! Cherry-O","6932","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665163","4.78017","3.59894","1.0238","27923","2371","thing","Hi Ho! Cherry-O","2","4","10","10","10","1960","2,3,4","4","3–5","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hink Pink","56229","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663792","0","5.172","1","0","80","thing","Hink Pink","4","99","0","0","0","2008","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Hungry Monkey","355735","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784080","5.79288","6.747","1.3182","4595","1669","thing","Hungry Monkey","2","6","30","30","15","2022","2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ick: The Game","32105","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788245","0","5.53","1","0","68","thing","Ick: The Game","2","4","20","20","20","2007","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Illusion","244995","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784338","6.34822","6.71407","1.0484","1609","8802","thing","Illusion","2","5","15","15","15","2018","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Imperial Settlers: Roll & Write","270836","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664113","5.88999","6.28001","1.8462","3718","5145","thing","Imperial Settlers: Roll & Write","1","4","30","30","30","2019","1,2","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"In a Flash Firefighters","296354","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665216","5.52106","6.19103","1","17591","172","thing","In a Flash Firefighters","2","4","15","15","15","2020","2,3,4","2,4","4+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Innovation","63888","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117783973","7.09237","7.30093","2.7674","381","24381","thing","Innovation","2","4","60","60","45","2010","2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Ishtar: Gardens of Babylon","271088","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117495121","6.35297","6.97179","2.2347","1595","6661","thing","Ishtar: Gardens of Babylon","2","4","45","45","45","2019","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Isle of Skye: From Chieftain to King","176494","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695560","7.22486","7.39331","2.2543","275","34510","thing","Isle of Skye: From Chieftain to King","2","5","50","50","30","2015","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jaipur","54043","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697175","7.36921","7.48503","1.4626","194","86909","thing","Jaipur","2","2","30","30","30","2009","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jamaica","28023","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117495119","6.87864","7.0604","1.6596","623","30554","thing","Jamaica","2","6","60","60","30","2007","3,4,5,6","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jaws","272738","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695733","6.61572","7.07802","2.1379","1013","16552","thing","Jaws","2","4","60","60","60","2019","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Jenga Maker","360740","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664843","5.53644","6.70253","1","14234","288","thing","Jenga Maker","2","6","0","0","0","2022","2,4","4","5–8","","","","","","","standalone","","","","","","","","","","","","","","",""
"Jumpship","275274","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788303","0","6.51276","1.25","0","252","thing","Jumpship","5","10","30","30","25","2021","5,7,8,9,10","7","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Just One","254640","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664187","7.43758","7.60021","1.0375","152","52161","thing","Just One","3","7","60","60","20","2018","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Katamino","6931","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117694632","5.81919","6.49151","1.7143","4312","3372","thing","Katamino","1","2","10","10","10","1992","1,2","1","3+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"King of New York","160499","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664142","6.67167","6.87115","1.872","921","26621","thing","King of New York","2","6","40","40","40","2014","3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"King of Tokyo","70323","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664134","7.02336","7.12631","1.4866","447","106472","thing","King of Tokyo","2","6","30","30","30","2011","3,4,5,6","4,5","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdomino","204583","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117495117","7.18297","7.30032","1.2316","301","84645","thing","Kingdomino","2","4","25","25","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kitara","293267","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695951","5.77489","6.8018","2.1818","4809","1551","thing","Kitara","2","4","40","40","40","2020","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"KLASK","165722","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118213893","7.2616","7.63469","1.0521","255","15985","thing","KLASK","2","2","10","10","10","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"KLASK 4","270131","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118213900","5.90511","7.44035","1.1667","3622","883","thing","KLASK 4","4","4","10","10","10","2019","4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Knit Wit","191982","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696577","5.69161","6.0487","1.7368","6066","2499","thing","Knit Wit","2","8","15","15","15","2016","3,4,5,6,7,8","6","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Kombo Klash!","317312","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788158","5.59452","6.80455","1.7143","9053","429","thing","Kombo Klash!","2","4","30","30","15","2021","2,3,4","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"LCR","3522","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788096","4.49541","3.66496","1.0429","27934","5555","thing","LCR","3","12","20","20","20","1983","","4,5","3+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Legendary: A Marvel Deck Building Game","129437","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695788","7.24396","7.5278","2.4317","263","35498","thing","Legendary: A Marvel Deck Building Game","1","5","60","60","30","2012","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Letter GO!","241323","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664175","5.52631","6.84255","1.5","16281","184","thing","Letter GO!","3","6","15","15","15","2018","3,4,5,6","4","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Lieselotte teilt aus","104783","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665248","0","4.3","0","0","47","thing","Lieselotte teilt aus","2","4","10","10","10","2011","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Linkee!","147194","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117663702","5.73468","6.39128","1.1111","5338","2259","thing","Linkee!","2","30","30","30","30","2012","4,5,6,7,8,9,10","4","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Linko","153065","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118299140","6.5491","6.9925","1.3817","1138","9147","thing","Linko","2","5","20","20","20","2014","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Little Circuses","178515","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696445","5.56888","6.37716","2.4","10677","558","thing","Little Circuses","1","7","45","45","30","2016","1,4,5","1,5","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"A Little Wordy","335869","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697116","5.91976","6.71971","1.1","3516","4571","thing","A Little Wordy","2","2","15","15","5","2021","2","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Long Shot: The Dice Game","295374","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118754532","7.15485","7.59281","1.9309","327","16451","thing","Long Shot: The Dice Game","1","8","25","25","25","2022","1,2,3,4,5,6,7,8","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Looterz","199780","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117788177","5.71075","6.54522","1.2609","5729","1241","thing","Looterz","2","6","30","30","15","2016","2,3,4,5,6","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Lord of the Fries","1536","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696915","5.68124","5.96431","1.2867","6273","3516","thing","Lord of the Fries","3","8","45","45","45","1998","3,4,5,6,7","4,5,6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lorenzo il Magnifico","203993","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697456","7.50336","7.84153","3.2879","127","17101","thing","Lorenzo il Magnifico","2","4","120","120","60","2016","2,3,4","3,4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Cities","50","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697170","7.14331","7.24748","1.4763","338","70914","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost in R'lyeh","197707","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118972596","5.59707","6.05671","1.1429","8922","1604","thing","Lost in R'lyeh","2","6","45","45","45","2016","2,3,4,5","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter","277085","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784990","7.14417","7.51581","1.116","336","24224","thing","Love Letter","2","6","20","20","20","2019","3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Mage Wars Academy","172503","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697074","6.07708","7.09674","3.1212","2610","3954","thing","Mage Wars Academy","2","2","30","30","30","2015","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Magic Feathers","194033","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665230","5.5064","5.84939","1","21751","126","thing","Magic Feathers","2","5","15","15","15","2016","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Majesty: For the Realm","230080","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664418","6.54747","6.92366","1.7182","1140","8387","thing","Majesty: For the Realm","2","4","30","30","20","2017","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Man Bites Dog","4035","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664076","5.23173","4.59661","1.1017","27875","2218","thing","Man Bites Dog","2","6","10","10","10","2002","3,4,5,6","4","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Mansions of Madness: Second Edition","205059","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117494962","7.69959","7.93357","2.6972","63","61223","thing","Mansions of Madness: Second Edition","1","5","180","180","120","2016","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Marvel Champions: The Card Game","285774","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696980","7.79354","8.11585","2.9419","42","43491","thing","Marvel Champions: The Card Game","1","4","90","90","45","2019","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Meadow","314491","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696719","7.33437","7.72326","2.2438","208","22518","thing","Meadow","1","4","90","90","60","2021","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mechs vs. Minions","209010","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117494982","7.64847","7.96238","2.4515","77","24571","thing","Mechs vs. Minions","2","4","120","120","60","2016","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Menara","244608","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664348","6.73545","7.4332","1.5714","814","6817","thing","Menara","1","4","60","60","10","2018","1,2,3,4","2,3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mental Blocks","275089","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665156","5.83915","6.8105","1.5385","4136","1362","thing","Mental Blocks","2","9","20","20","10","2019","2,3,4,5,6,7","4,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Migration: Mars","299191","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696482","5.49567","5.65328","2.1667","24291","627","thing","Migration: Mars","2","4","120","120","60","2020","2,3,4","3,4","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Minecraft: Builders & Biomes","269603","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664893","6.30855","6.90827","2.0139","1722","8210","thing","Minecraft: Builders & Biomes","2","4","60","60","30","2019","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Misty","270443","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117787787","5.60071","6.24222","1.0667","8730","1349","thing","Misty","2","5","15","0","15","2019","2,3,4,5","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"MOD X","131387","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117783833","5.54475","6.90212","1.6667","13001","265","thing","MOD X","2","4","25","25","25","2012","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Modern Art Card Game","40381","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784276","6.07635","6.61251","1.6557","2614","4776","thing","Modern Art Card Game","2","5","30","30","20","2008","2,3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Monikers","156546","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664087","7.19677","7.78164","1.0899","290","13746","thing","Monikers","4","16","60","60","30","2015","4,5,6,7,8,9,10,11,12,14,16","6,8,10","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
